file	family_group_id	bucket	proxy	proxy_name	knn_pred	knn12_frac	max_gold_sim	why_selected	is_custom	custom_reasons	base_status	base_construction	base_candidates	evidence	reviewed_by
021222_085126-231692.pdf	fam_fba43b89cf3d	nn_gold	4	AutoBottom	4	0.00	0.935	ใกล้ gold custom (sim 0.94) แต่ proxy=AutoBottom							
150922_054441-561341.pdf	fam_38dc6a999ec7	nn_gold	4	AutoBottom	4	0.10	0.932	ใกล้ gold custom (sim 0.93) แต่ proxy=AutoBottom							
230822_093835-656386.pdf	fam_87eea19f171a	nn_gold	3	SnapLock	3	0.10	0.930	ใกล้ gold custom (sim 0.93) แต่ proxy=SnapLock							
091122_025014-179016.pdf	fam_6358352cfa6b	nn_gold	3	SnapLock	3	0.00	0.927	ใกล้ gold custom (sim 0.93) แต่ proxy=SnapLock							
091122_024323-424731.pdf	fam_a2207c5a89fa	nn_gold	3	SnapLock	3	0.00	0.927	ใกล้ gold custom (sim 0.93) แต่ proxy=SnapLock							
270622_084916.pdf	fam_2f697fdc4be9	nn_gold	4	AutoBottom	4	0.10	0.927	ใกล้ gold custom (sim 0.93) แต่ proxy=AutoBottom							
141222_085728-923453.pdf	fam_19ff36ea0c8a	nn_gold	3	SnapLock	4	0.00	0.926	ใกล้ gold custom (sim 0.93) แต่ proxy=SnapLock							
F008962 องค์การเภสัชกรรม JE21110604 34215270 Lay 1_180422_103112.pdf	fam_5bef774c2d1f	nn_gold	4	AutoBottom	1	0.20	0.925	ใกล้ gold custom (sim 0.93) แต่ proxy=AutoBottom							
160722_055618.pdf	fam_c0bc4e57e745	nn_gold	1	RTE	1	0.00	0.925	ใกล้ gold custom (sim 0.93) แต่ proxy=RTE							
310323_080718-958622.pdf	fam_13a419db7a93	nn_gold	2	STE	4	0.00	0.925	ใกล้ gold custom (sim 0.92) แต่ proxy=STE							
310323_080753-756452.pdf	fam_b08ce7bfea6e	nn_gold	2	STE	4	0.00	0.925	ใกล้ gold custom (sim 0.92) แต่ proxy=STE							
050922_070151-796515.pdf	fam_2c34293f06c6	nn_gold	3	SnapLock	1	0.00	0.925	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
050922_071013-903783.pdf	fam_ed6c9692e04b	nn_gold	3	SnapLock	1	0.00	0.925	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
120123_033013-659392.pdf	fam_7de0c8798b05	nn_gold	4	AutoBottom	3	0.00	0.925	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
270722_094631.pdf	fam_01f415344e0f	nn_gold	4	AutoBottom	4	0.00	0.925	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
301122_061838-256827.pdf	fam_3f87b26d5c51	nn_gold	4	AutoBottom	4	0.00	0.924	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
F009878 CARGURU LEATHER WAX Lay_120522_151508.pdf	fam_233685e08a64	nn_gold	1	RTE	1	0.00	0.923	ใกล้ gold custom (sim 0.92) แต่ proxy=RTE							
201222_014703-954447.pdf	fam_e15e9c85008a	nn_gold	3	SnapLock	4	0.00	0.923	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
211122_075133-448365.pdf	fam_b40ec61ba4f0	nn_gold	4	AutoBottom	4	0.00	0.922	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
060223_060718-184328.pdf	fam_a8cade80cb92	nn_gold	2	STE	3	0.00	0.922	ใกล้ gold custom (sim 0.92) แต่ proxy=STE							
251122_070320-962528.pdf	fam_63d476aca2ab	nn_gold	3	SnapLock	3	0.00	0.921	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
060822_025740-464280.pdf	fam_ad5e052f3e33	nn_gold	4	AutoBottom	4	0.00	0.921	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
170822_061048-301066.pdf	fam_7427063ba2f0	nn_gold	11	SealEnd	1	0.00	0.920	ใกล้ gold custom (sim 0.92) แต่ proxy=SealEnd							
141222_021301-748792.pdf	fam_8716ccd6e700	nn_gold	4	AutoBottom	1	0.00	0.920	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
210722_081430.pdf	fam_8dd06e3fa639	nn_gold	1	RTE	4	0.00	0.920	ใกล้ gold custom (sim 0.92) แต่ proxy=RTE							
110123_032136-181066.pdf	fam_9d669e59766c	nn_gold	4	AutoBottom	3	0.00	0.920	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
241022_060812-391882.pdf	fam_7ba7acb74dfc	nn_gold	3	SnapLock	4	0.00	0.919	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
300123_003648-343230.pdf	fam_361ad3e75752	nn_gold	4	AutoBottom	4	0.10	0.919	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
271022_013939-142887.pdf	fam_4b1a012c3833	nn_gold	4	AutoBottom	4	0.00	0.919	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
180822_083917-704199.pdf	fam_7e5a8888e2cb	nn_gold	3	SnapLock	4	0.00	0.919	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
241022_032012-573176.pdf	fam_c9bdf76c25c0	nn_gold	1	RTE	1	0.00	0.918	ใกล้ gold custom (sim 0.92) แต่ proxy=RTE							
251122_071354-423736.pdf	fam_bde8a210ac38	nn_gold	3	SnapLock	3	0.10	0.918	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
F009879 HORSEY CAR CARE Lay_120522_145851.pdf	fam_85e1b11ea1e0	nn_gold	1	RTE	1	0.20	0.918	ใกล้ gold custom (sim 0.92) แต่ proxy=RTE							
151122_025435-361245.pdf	fam_64c362f4cd33	nn_gold	4	AutoBottom	4	0.00	0.917	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
060922_014701-353593.pdf	fam_7d3c85d4a590	nn_gold	3	SnapLock	1	0.00	0.917	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
150822_034940-957151.pdf	fam_53ac797c9137	nn_gold	3	SnapLock	4	0.00	0.917	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
200123_013001-447160.pdf	fam_86e10036ab28	nn_gold	4	AutoBottom	3	0.00	0.917	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
191022_015853-685343.pdf	fam_67da7ba37fb9	nn_gold	3	SnapLock	1	0.00	0.917	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
231122_025009-495421.pdf	fam_b7c4fd183ef9	nn_gold	1	RTE	1	0.00	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=RTE							
280922_092150-274485.pdf	fam_593f0ce1a6ca	nn_gold	3	SnapLock	4	0.00	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
280922_092041-551853.pdf	fam_cf6251ba2cc3	nn_gold	3	SnapLock	4	0.00	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
280922_091923-712911.pdf	fam_88867530684a	nn_gold	3	SnapLock	4	0.00	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
260922_095550-592517.pdf	fam_855cc92203ff	nn_gold	3	SnapLock	3	0.00	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
260922_095302-336922.pdf	fam_78e8c40d439d	nn_gold	3	SnapLock	3	0.00	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
260922_094556-424311.pdf	fam_d27f4dbf8966	nn_gold	3	SnapLock	3	0.00	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
260922_094503-887960.pdf	fam_b15f09ece72c	nn_gold	3	SnapLock	3	0.00	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
260922_093616-452719.pdf	fam_16d3e96b2fcb	nn_gold	3	SnapLock	3	0.00	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
LAY F009728 กล่องรังนกโบกิ_120422_120345.pdf	fam_56e8410d8df1	nn_gold	3	SnapLock	3	0.10	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
260822_043455-703961.PDF	fam_588bacc64ae4	nn_gold	4	AutoBottom	1	0.10	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
211122_042836-986336.pdf	fam_4ae67758b9a6	nn_gold	3	SnapLock	3	0.00	0.916	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
270722_093052.pdf	fam_c2db429e219b	nn_gold	4	AutoBottom	4	0.00	0.915	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
081122_081806-521069.pdf	fam_38a794f19639	nn_gold	3	SnapLock	3	0.00	0.915	ใกล้ gold custom (sim 0.92) แต่ proxy=SnapLock							
260123_021625-818760.pdf	fam_a4544a2e6ac0	nn_gold	4	AutoBottom	4	0.10	0.915	ใกล้ gold custom (sim 0.92) แต่ proxy=AutoBottom							
120123_075859-967269.PDF	fam_2fceac78204d	nn_gold	2	STE	1	0.10	0.915	ใกล้ gold custom (sim 0.92) แต่ proxy=STE							
151122_023840-166677.pdf	fam_2f2d7f05ab94	nn_gold	4	AutoBottom	4	0.00	0.915	ใกล้ gold custom (sim 0.91) แต่ proxy=AutoBottom							
231222_012302-509020.pdf	fam_8179a1801a50	nn_gold	4	AutoBottom	4	0.00	0.915	ใกล้ gold custom (sim 0.91) แต่ proxy=AutoBottom							
250822_063324-643419.pdf	fam_f9f6e822b223	nn_gold	3	SnapLock	1	0.00	0.914	ใกล้ gold custom (sim 0.91) แต่ proxy=SnapLock							
160822_070830-555060.pdf	fam_1e4960d52bc8	nn_gold	11	SealEnd	2	0.00	0.913	ใกล้ gold custom (sim 0.91) แต่ proxy=SealEnd							
F009801 CHEESE STICK Lay_270422_160654.pdf	fam_adbf0fa0d640	nn_gold	1	RTE	1	0.00	0.913	ใกล้ gold custom (sim 0.91) แต่ proxy=RTE							
F009799 PIZZA (HAWAIIAN) 135 G lay_270422_151243.pdf	fam_c9103c9eadb2	nn_gold	1	RTE	1	0.00	0.913	ใกล้ gold custom (sim 0.91) แต่ proxy=RTE							
010622_012039.pdf	fam_9e6c6a2a58bf	model_custom	3	SnapLock	12	0.90	0.748	CLIP-kNN ทาย Custom (90% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
E22050025_230522_165203.pdf	fam_1b659152017c	model_custom	3	SnapLock	12	0.90	0.671	CLIP-kNN ทาย Custom (90% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
E22040024_110422_142623.pdf	fam_32aa56bd2f84	model_custom	3	SnapLock	12	0.90	0.675	CLIP-kNN ทาย Custom (90% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
230622_072834.pdf	fam_6356c00c4a0a	model_custom	2	STE	12	0.80	0.717	CLIP-kNN ทาย Custom (80% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
170622_064549.pdf	fam_5d467998c1e5	model_custom	2	STE	12	0.80	0.672	CLIP-kNN ทาย Custom (80% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
270722_094447.pdf	fam_01e8a8cc87f5	model_custom	4	AutoBottom	12	0.80	0.769	CLIP-kNN ทาย Custom (80% ของ 10 เพื่อนบ้าน=12) แต่ proxy=AutoBottom							
