num	file	family_group_id	proxy	proxy_name	gpt_is_custom	gpt_custom_reasons	gpt_base_status	gpt_base_construction	gpt_base_candidates	is_false_negative	base_conflict	needs_expert	gpt_evidence
2	150922_054441-561341.pdf	fam_38dc6a999ec7	4	AutoBottom	yes	window|nonstandard_structure	nonstandard			Y		Y	โครง blister/display มีช่องเจาะและชุดปีกไม่ตรงแม่แบบ 1–11
3	230822_093835-656386.pdf	fam_87eea19f171a	3	SnapLock	yes	window|hang_tab	standard	4		Y	Y	Y	ฐานเป็น tuck-top auto-bottom แต่มีหน้าต่างและรูหิ้วเพิ่ม
6	270622_084916.pdf	fam_2f697fdc4be9	4	AutoBottom	yes	window|nonstandard_structure	nonstandard			Y		Y	multipack มีช่องจับ/ช่องยึดและชุดแผงเฉพาะงาน ไม่เข้าแม่แบบ 1–11
7	141222_085728-923453.pdf	fam_19ff36ea0c8a	3	SnapLock	yes	curved_edge|nonstandard_structure	nonstandard			Y		Y	display box มีฐานเอียงและแนวผนังเฉพาะ ไม่ใช่ก้นมาตรฐาน
16	301122_061838-256827.pdf	fam_3f87b26d5c51	4	AutoBottom	yes	extra_feature|nonstandard_structure	nonstandard			Y		Y	โครง inner-project มีแผงต่อเนื่องและรอยเว้าเพิ่ม ไม่ตรงแม่แบบมาตรฐาน
19	211122_075133-448365.pdf	fam_b40ec61ba4f0	4	AutoBottom	yes	extra_feature|curved_edge|nonstandard_structure	nonstandard			Y		Y	มีแผงล็อกยาว รอยเว้า และแนวพับเฉพาะงาน inner-project
23	170822_061048-301066.pdf	fam_7427063ba2f0	11	SealEnd	yes	nonstandard_structure	nonstandard			Y		Y	โครงกางเป็นชุดแผงต่อเนื่องซึ่งยังจับคู่กับแม่แบบถาด 5–7 ไม่ได้อย่างน่าเชื่อถือ จึงตี Custom ก่อน
25	210722_081430.pdf	fam_8dd06e3fa639	1	RTE	yes	extra_feature	ambiguous		1|2	Y		Y	เห็น tuck-end แต่ตำแหน่งฝาบน–ล่างในภาพ LAY ยังแยก RTE/STE ไม่มั่นใจ ตามกติกาให้ Custom ก่อน
27	241022_060812-391882.pdf	fam_7ba7acb74dfc	3	SnapLock	yes	window|extra_feature	standard	4		Y	Y	Y	ฐานเป็น auto-bottom แต่มีช่องเจาะ/แผงล็อกภายในเพิ่มจากแม่แบบ
36	150822_034940-957151.pdf	fam_53ac797c9137	3	SnapLock	yes	nonstandard_structure	nonstandard			Y		Y	display box มีผนังลาดและฐานเฉพาะ ไม่เข้า 1–11
37	200123_013001-447160.pdf	fam_86e10036ab28	4	AutoBottom	yes	nonstandard_structure	nonstandard			Y		Y	display box มีชุดแผงยก/เอียงเฉพาะงาน ไม่ตรงแม่แบบมาตรฐาน
38	191022_015853-685343.pdf	fam_67da7ba37fb9	3	SnapLock	yes	extra_feature|nonstandard_structure	nonstandard			Y		Y	inner curry มีชุดล็อกและแผงซ้อนหลายชั้นเกินแม่แบบถาดมาตรฐาน
40	280922_092150-274485.pdf	fam_593f0ce1a6ca	3	SnapLock	yes	curved_edge|extra_feature	standard	4		Y	Y	Y	ฐานเป็น auto-bottom แต่มีรอยเว้าครึ่งวงกลม/แง่งเปิดเพิ่ม
41	280922_092041-551853.pdf	fam_cf6251ba2cc3	3	SnapLock	yes	curved_edge|extra_feature	standard	4		Y	Y	Y	ภาพซ้ำกลุ่ม #40; มีรอยเว้าเพิ่มจาก auto-bottom มาตรฐาน
42	280922_091923-712911.pdf	fam_88867530684a	3	SnapLock	yes	curved_edge|extra_feature	standard	4		Y	Y	Y	ภาพซ้ำกลุ่ม #40; base ยังเป็นแบบ 4 แต่มี feature เพิ่ม
43	260922_095550-592517.pdf	fam_855cc92203ff	3	SnapLock	yes	extra_feature|nonstandard_structure	nonstandard			Y		Y	display box มีขอบหลังยกสูงและลำดับปีกบนเฉพาะงาน
44	260922_095302-336922.pdf	fam_78e8c40d439d	3	SnapLock	yes	extra_feature|nonstandard_structure	nonstandard			Y		Y	ภาพซ้ำ #43; ส่วนยกสูงบนขอบทำให้ไม่ใช่แม่แบบ 1–11
49	260822_043455-703961.PDF	fam_588bacc64ae4	4	AutoBottom	yes	window	standard	4		Y		Y	ฐานเป็น auto-bottom แต่มีช่องหน้าต่างสี่เหลี่ยมใน body panel
50	211122_042836-986336.pdf	fam_4ae67758b9a6	3	SnapLock	yes	extra_feature|nonstandard_structure	nonstandard			Y		Y	มีชุดแง่งและรอยเว้าหลายตำแหน่งซึ่งไม่ตรงกลไกมาตรฐานตัวใด
52	081122_081806-521069.pdf	fam_38a794f19639	3	SnapLock	yes	window|extra_feature|nonstandard_structure	nonstandard			Y		Y	มีช่องหิ้วสี่เหลี่ยมและแง่งล็อกเพิ่มหลายตำแหน่ง
55	151122_023840-166677.pdf	fam_2f2d7f05ab94	4	AutoBottom	yes	extra_feature|nonstandard_structure	nonstandard			Y		Y	มีแนวฉีก/แนวล็อกคดและแผงภายในเพิ่มจากแม่แบบมาตรฐาน
